id,次數
1000155073334838,7
1002581509756314,1
1002720676434815,2
1004067782944337,2
1004244432928739,1
1006128676069189,1
1007885252615318,1
1008424465839683,1
1012114398802045,2
1012524582095939,1
1013074648708374,1
10151962349426058,3
10152003227462927,2
10152005521697256,2
10152041251252233,1
10152072514621094,1
10152086932418736,8
10152091172471336,10
10152139792888299,3
10152145007497535,1
10152149745588321,1
10152151560891464,2
10152174094717691,1
10152193825509086,2
10152206745456216,1
10152209678929086,1
10152223183376012,1
10152288030012891,1
10152297943738509,3
10152298467116577,2
10152305192137591,1
10152306457247559,1
10152309759252159,1
10152310339189906,2
10152319094477418,1
10152321994053725,2
10152329624388389,1
10152333779377190,1
10152334362508630,1
10152346851152694,3
10152347620470259,1
10152356117679390,3
10152358222144723,1
10152374796028829,6
10152377320046419,1
10152378094609639,1
10152390499601757,3
10152393656632862,1
10152394554518024,1
10152402413963522,25
10152404572254985,2
10152418035774665,1
10152419258543612,1
10152421100417121,3
10152434077899372,1
10152437985081954,1
10152443777472620,2
10152451994291754,3
10152457055902573,1
10152469748858118,1
10152498514347206,1
10152534219211391,2
10152563790788349,1
10152570716364087,1
10152572690944400,33
10152572890829799,1
10152626341594164,1
10152632350189563,1
10152632790596737,9
10152684526901071,1
10152695249667295,1
10152727967852498,5
10152737485319106,2
10152788193874487,2
10152790585608872,1
10152803877627673,2
10152848005459906,1
10152878861208957,1
10152887067461178,11
10152909948495070,7
10152943290515692,1
10152987079177243,3
10153050386207275,1
10153097236927785,1
10153194327680027,1
10153275015509460,1
10153990892010405,4
10154031916815725,4
10154069738485228,1
10154080964530193,3
10154472059552988,1
10154602733455206,1
10154866697080080,12
10154870647605237,1
10154905005230191,1
1018057624876430,1
10200661576781675,1
10200753546081160,1
10200834512224468,1
10200871234422740,2
10200917510538649,4
10200924214307441,5
10200966570607059,1
10201014661567530,1
10201085841427518,1
10201109801265940,1
10201131359404464,3
10201140154425231,1
10201161325588662,1
10201189704218495,3
10201206627162629,1
10201255057418996,1
10201261429492553,1
10201268047497991,5
10201284964039724,1
10201306254412924,1
10201313353747417,1
10201390488199143,2
10201407509028568,1
10201420087384723,5
10201434698543031,11
10201519365024440,1
10201522678983029,2
10201543027408385,1
10201580620037031,14
10201586504259226,7
10201615760938869,1
10201622235876050,1
10201623361938204,1
10201652424970142,1
10201689448472216,1
10201710395311365,1
10201730314452900,1
10201768653049053,1
10201777577681229,1
10201816463801441,3
10201834678458594,1
10201844280370705,1
10201865033336547,1
10201865313983440,1
10201869212157517,1
10201878937410182,2
10201896796643124,5
10201899960166849,5
10201906089109715,2
10201920782848958,1
10201962078635120,1
10201964376012089,9
10201989799654609,1
10202049867888770,1
10202061223687186,1
